Date,Price,Open,High,Low,Vol.,Change %
11/09/2020,25.40,24.53,25.68,23.11,5.40,3.55%
10/09/2020,24.53,24.49,25.54,24.10,6.22,0.18%
09/09/2020,24.49,23.24,24.51,22.46,5.97,5.38%
08/09/2020,23.24,22.45,23.41,21.30,7.72,3.52%
07/09/2020,22.45,23.18,23.55,20.13,7.46,-3.17%
06/09/2020,23.18,19.47,23.44,18.58,10.83,19.08%
05/09/2020,19.47,20.96,21.53,18.02,5.88,-7.10%
04/09/2020,20.95,20.33,21.83,19.42,8.41,3.05%
03/09/2020,20.33,24.70,25.54,20.18,10.46,-17.69%
02/09/2020,24.70,24.72,25.81,23.23,8.96,-0.08%
01/09/2020,24.72,23.13,25.39,22.87,6.86,6.87%
31/08/2020,23.13,23.63,23.90,22.99,2.94,-2.09%
30/08/2020,23.63,22.94,23.83,22.91,3.13,2.98%
29/08/2020,22.94,23.07,23.50,22.75,2.89,-0.54%
28/08/2020,23.07,23.10,23.57,22.62,3.87,-0.16%
27/08/2020,23.11,22.20,23.14,21.83,4.46,4.09%
26/08/2020,22.20,21.39,22.48,21.28,3.85,3.76%
25/08/2020,21.39,22.61,22.63,20.99,3.53,-5.36%
24/08/2020,22.61,21.85,22.96,21.67,2.44,3.49%
23/08/2020,21.84,22.19,22.22,21.55,2.56,-1.61%
22/08/2020,22.20,22.09,22.26,21.29,3.00,0.62%
21/08/2020,22.06,23.07,23.33,21.63,3.85,-4.36%
20/08/2020,23.07,22.35,23.30,22.02,3.31,3.20%
19/08/2020,22.35,23.01,23.25,21.86,3.27,-2.85%
18/08/2020,23.01,23.51,23.77,22.37,3.86,-2.10%
17/08/2020,23.50,23.50,23.92,23.00,3.63,0.00%
16/08/2020,23.50,23.02,23.77,22.72,3.88,2.15%
15/08/2020,23.01,23.11,23.78,22.81,3.93,-0.45%
14/08/2020,23.11,21.78,23.29,21.27,5.34,6.13%
13/08/2020,21.78,21.50,21.86,20.64,4.38,1.28%
12/08/2020,21.50,21.27,21.97,20.60,3.57,1.10%
11/08/2020,21.27,22.63,22.72,20.70,4.55,-6.01%
10/08/2020,22.63,22.44,22.78,22.08,3.06,0.84%
09/08/2020,22.44,22.92,22.94,22.05,3.04,-2.12%
08/08/2020,22.92,22.34,22.92,21.86,3.37,2.63%
07/08/2020,22.33,22.75,23.00,21.50,4.14,-1.80%
06/08/2020,22.75,23.27,23.29,22.53,3.64,-2.30%
05/08/2020,23.28,22.30,23.54,22.09,5.36,4.39%
04/08/2020,22.30,22.07,22.44,21.52,3.65,1.07%
03/08/2020,22.07,21.00,22.49,20.72,4.06,5.07%
02/08/2020,21.00,21.63,22.15,19.26,5.00,-2.87%
01/08/2020,21.62,20.67,21.75,20.58,3.86,4.62%
31/07/2020,20.67,19.98,20.85,19.91,3.35,3.44%
30/07/2020,19.98,19.84,20.09,19.56,3.18,0.69%
29/07/2020,19.84,19.84,19.85,19.80,3.43,-1.61%
28/07/2020,20.17,19.79,20.62,19.46,5.19,1.87%
27/07/2020,19.79,19.55,20.18,18.45,5.59,1.23%
26/07/2020,19.55,19.80,20.25,19.34,4.23,-1.23%
25/07/2020,19.80,19.18,20.03,19.16,4.41,3.20%
24/07/2020,19.18,18.76,19.54,18.24,4.12,2.28%
23/07/2020,18.76,18.11,18.76,18.05,3.66,3.63%
22/07/2020,18.10,17.72,18.11,17.46,3.39,2.15%
